Review #,Brand,Variety,Style,Country,Stars,Top Ten
2538,NISSIN,Cup Noodles Very Veggie Beef Flavor Ramen Noodle Soup,Cup,USA,5.0,False
2537,NISSIN,Cup NoodlesTom Yam Seafood (More Shrimptacular),Cup,Singapore,5.0,False
2536,LELE,Instant Noodles Beef,Pack,Ghana,3.5,False
2535,NISSIN,Cup Noodles Very Veggie Chicken Flavor Ramen Noodle Soup,Cup,USA,5.0,False
2534,FUJIWARA,Hokkaido Hakodate Shoyu Ramen,Pack,Japan,4.0,False
2533,NONGSHIM,Shin Ramyun Black,Pack,South Korea,5.0,False
2532,NISSIN,Nippon Onomichi Ramen,Bowl,Japan,4.75,False
2531,UNI PRESIDENT,Pickled Cabbage Beef,Pack,China,4.25,False
2530,OTTOGI,Ppushu Ppushu Noodle Snack Honey Butter ,Pack,South Korea,2.0,False
2529,MARUCHAN,Gotsumori Chanpon Ramen,Bowl,Japan,4.5,False
2528,PRIMA,Juzz's Mee Creamy Chicken Flavour (Export Version),Pack,Singapore,5.0,False
2527,UNI PRESIDENT,Mushroom Flavor,Pack,Vietnam,0.0,False
2526,SAMYANG,Jjamppong Big Bowl,Bowl,South Korea,4.5,False
2525,SOKENSHA,Curry Udon,Pack,Japan,3.5,False
2524,NISSIN,Straits Reborn Laksa,Pack,Singapore,5.0,False
2523,NONGSHIM,Budae Jjigae Noodle Soup,Pack,South Korea,4.5,False
2522,TAKAMORI,Hearty Japanese Style Curry Udon,Pack,Japan,5.0,False
2521,NISSIN,Cup Noodles Potato Chips Black Pepper Crab Flavour,Pack,Singapore,4.5,False
2520,NISSIN,Cup Noodles Blacl Pepper Crab Flavour (More Angry Crab),Cup,Singapore,5.0,False
2519,GUAVA STORY,Anchovy Flavor Guava Rice Noodles,Tray,South Korea,1.0,False
2518,SAMURAI RAMEN,Umami Ramen,Pack,Japan,4.0,False
2517,IKEDA SHOKU,Nabeyaki Tempura Udoin,Bowl,Japan,4.5,False
2516,FUJIWARA,Hokkaido Hakodate Miso Ramen,Pack,Japan,3.5,False
2515,UNI PRESIDENT,Man Han Feast Spicy Beef Flavor Instant Noodles,Bowl,Taiwan,5.0,False
2514,OGASAWARA,Kirin Giraffe Shoyu Ramen,Pack,Japan,4.5,False
2512,MOM'S DRY NOODLE,Dan Dan Noodle,Pack,Taiwan,5.0,False
2511,SAMYANG,Samyang Ramen Classic Edition,Bowl,South Korea,5.0,False
2510,MYKUALI,Penang Red Tom Yum Goong Noodle,Pack,Malaysia,5.0,False
2509,MAGGI,Hot Heads Green Chilli Noodles,Pack,India,3.5,False
2508,SAMYANG,Mala Buldak Bokkeummyun,Pack,South Korea,3.75,False
2507,INDOMIE,RMy Noodlez Rumput Laut,Pack,Indonesia,4.0,False
2506,KOKA,Delight Chicken Flavor Instant Non-Fried Noodles,Pack,Singapore,3.75,False
2505,ACECOOK,Super Cup Torigawa Shoyu,Bowl,Japan,3.5,False
2504,NONGSHIM,Shin Ramyun,Pack,South Korea,3.0,False
2503,SICHUAN GUANGYOU,Sweet Potato Instant Noodle Sout-Hot Flavor,Bowl,China,0.0,False
2502,INDOMIE,Onion Chicken Flavor,Pack,Nigeria,1.5,False
2501,HAPPY COOK,Toona Paste Noodle,Pack,Taiwan,4.0,False
2500,THE RAMEN RATER SELECT,Supreme Creamy Tom Yum Noodle,Box,Malaysia,5.0,False
2499,KOKA,Creamy Soup With Crushed Noodles Chicken Flavor,Cup,Singapore,5.0,False
2498,NISSIN,Demae Ramen Spicy Beef,Pack,Germany,3.75,False
2497,NISSIN,Cup Noodles Spicy,Cup,Germany,3.75,False
2496,NISSIN,Soba Thai,Pack,Germany,4.5,False
2495,NISSIN,Cup Noodles Huhn (Chicken),Cup,Germany,3.75,False
2494,NISSIN,Demae Ramen Korean Kimchi,Pack,Germany,3.5,False
2493,NISSIN,Cup Noodles Curry,Cup,Germany,3.75,False
2492,NISSIN,Smack Chili,Pack,Hungary,3.75,False
2491,NISSIN,Soba Yakitori Chicken,Cup,Germany,5.0,False
2490,NISSIN,Demae Ramen Garlic Chicken,Pack,Germany,3.5,False
2489,NISSIN,Cup Noodles Ente (Duck),Cup,Germany,3.0,False
2488,NISSIN,Demae Ramen Thai Tom Yum,Pack,Germany,3.75,False
2487,NISSIN,Soba Sukiyaki Beef,Cup,Germany,4.5,False
2486,NISSIN,Demae Ramen Spicy,Pack,Germany,3.5,False
2485,NISSIN,Cup Noodles Shrimps,Cup,Germany,3.0,False
2484,NISSIN,Demae Ramen Tokyo Soy Sauce,Pack,Germany,4.0,False
2483,PALDO,Bul Jjamppong,Bowl,South Korea,5.0,False
2482,TTL,Chicken With Chinese Shaoxing Wine,Pack,Taiwan,4.75,False
2481,SAMYANG,Buldak Bokkeummyun,Cup,South Korea,3.75,False
2480,ACECOOK,Pork Wantan Men,Bowl,Japan,4.25,False
2479,E ZEE,Instant Noodles Chicken Flavour,Pack,Malaysia,4.0,False
2478,KIKI NOODLE,Scallion Oil & Soy Sauce Noodle,Pack,Taiwan,5.0,False
2477,KIKI NOODLE,Sichuan Spices Flavor Noodle,Pack,Taiwan,5.0,False
2476,SAMYANG,Kimchi Stew Ramyun,Bowl,South Korea,4.0,False
2475,MARUCHAN,Seimen Red Spicy Dandan Men,Bowl,Japan,4.75,False
2474,OTTOGI,Ppushu Ppushu Noodle Snack Chilli Cheese Flavor,Pack,South Korea,4.25,False
2473,TOKYO NOODLE,Mini Instant Noodle Mild Curry Flavor,Pack,Japan,2.0,False
2472,GGE,Noodle Snack Wheat Cracks Seaweed Flavor,Pack,Taiwan,3.5,False
2471,NISSIN,Cup Noodles Mini Seafood Flavour,Cup,Hong Kong,5.0,False
2470,MYOJO,Udon Japanese Style Noodles With Soup Base Hot & Sour Flavor,Pack,USA,3.75,False
2469,KOKA,Signature Curry Flavor Instant Noodles,Cup,Singapore,3.5,False
2468,ACECOOK,Dossari Yasai Chanpon,Cup,Japan,4.25,False
2467,PALDO,Volcano Curry Kkokkomyun,Pack,South Korea,3.5,False
2466,SAU TAO,Instant Noodle King Pepper Duck Flavour Soup,Pack,Hong Kong,4.0,False
2465,NISSIN,Cup Noodles XO Sauce Seafood,Cup,China,3.75,False
2464,WANG,Extreme Spicy Hot Chicken Flavor Udon,Bowl,South Korea,2.0,False
2463,NISSIN,Gekikara Ramen Rasa Pedas,Pack,Indonesia,3.25,False
2462,TTL,Sesame Oil Chicken Noodle With Rice Wine,Bowl,Taiwan,5.0,False
2461,FUJIWARA,Hokkaido Hakodate Shio Ramen,Pack,Japan,4.5,False
2460,DAIFUKU,Katsuo Bowl Udon,Bowl,USA,5.0,False
2459,NISSIN,Cup Noodles MUG Shoyu & Seafood,Pack,Japan,3.5,False
2458,SAMYANG,Sari Ramen,Pack,South Korea,3.8707142857142856,False
2457,KOKA,Instant Noodles Chicken Satay Flavour,Pack,Singapore,3.5,False
2456,KOKA,Signature Spicy Singapore Fried Noodles Instant Noodles,Pack,Singapore,4.25,False
2455,KOKA,Creamy Soup With Crushed Noodles Sweet Corn Flavor,Cup,Singapore,5.0,False
2454,KOKA,Silk Beef Pho Flavor Instant Rice Fettuccine,Bowl,Singapore,3.25,False
2453,KOKA,Delight Spicy Sesame Flavor Instant Non-Fried Noodles,Pack,Singapore,4.5,False
2452,KOKA,Signature Laksa Singapura Instant Noodles,Bowl,Singapore,5.0,False
2451,KOKA,Delight Spicy Black Pepper Flavor Instant Non-Fried Noodles,Pack,Singapore,5.0,False
2450,KOKA,Purple Wheat Noodles Chili & Lime Flavor,Pack,Singapore,4.0,False
2449,KOKA,Delight Tomato Flavor Instant Non-Fried Noodles,Pack,Singapore,5.0,False
2448,KOKA,Seafood Flavor Instant Noodles,Cup,Singapore,3.5,False
2447,KOKA,Signature Stir-Fry Original Flavor Instant Noodles,Pack,Singapore,3.0,False
2446,KOKA,Creamy Soup Witrh Crushed Noodles Curry Flavor,Cup,Singapore,5.0,False
2445,KOKA,Delight Laksa Singapura Flavor Instant Non-Fried Noodles,Pack,Singapore,4.25,False
2444,KOKA,Silk Spicy Marinara Instant Rice Fettuccine,Bowl,Singapore,5.0,False
2443,KOKA,Signature Chicken Flavor Instant Noodles,Cup,Singapore,3.75,False
2442,NISSIN,Cup Noodles Sopa Nissin Hot Sauce Con Camaron,Cup,Mexico,3.5,False
2441,MYKUALI,Penang Hokkien Prawn Flavor Noodle,Box,Japan,5.0,False
2440,MASTER KONG,Roasted Pork Noodle,Pack,China,4.5,False
2439,UNI PRESIDENT,Man Han Feast Super Hot Pot Beef Flavor Instant Noodles,Bowl,Taiwan,5.0,False
2438,WORLD O' NOODLE,Mi Goreng Original Flavour Fried Noodles,Pack,Indonesia,5.0,False
2437,NISSIN,Raoh Nojyuku Toro Tonkotsu Ramen,Bowl,Japan,4.5,False
2436,KANG SHI FU,Artificial Dongpo's Braised Pork Flavour,Pack,Hong Kong,4.75,False
2435,MUM NGON,Lau Tom Chua Cay,Pack,Vietnam,3.5,False
2434,HAPPY COOK,Old Beijing Fried Bean Sauce Noodle,Pack,Taiwan,4.25,False
2433,NISSIN,Cup Noodles Indonesia Mie Goreng,Cup,Japan,3.75,False
2432,FASHION FOOD,Yummy Spicy Rice Soup With Seafood,Bowl,Thailand,3.5,False
2431,DREAM KITCHEN,Udon Japanese Style Fresh Noodle,Bowl,USA,3.75,False
2430,MYKUALI,MeeKuali Bihun Sup Rempah Perisa Daging,Pack,Malaysia,5.0,False
2429,NEW TOUCH,T's Restaurant Sura Tanmen,Cup,Japan,4.0,False
2428,TTL,Sesame Oil Chicken With Rice Wine Noodle,Bowl,Taiwan,5.0,False
2427,AJINATORI,HALAL Chicken Shoyu Sauce Ramen,Pack,Japan,2.5,False
2426,DR. MCDOUGALL'S,Vegan Pad Thai Noodle Soup,Cup,USA,0.0,False
2425,NISSIN,Seafood Flavour Rice Vermicelli,Cup,Hong Kong,5.0,False
2424,SAMYANG,Cheese Type Buldak Bokkeummyun (Black Pkg),Pack,South Korea,3.75,False
2423,VE WONG,Kung-Fu Instant Oriental Noodles Soup Artificial Onion Flavor,Pack,Taiwan,3.5,False
2422,NISSIN,Cup Noodles Sopa Nissin Con Camaron Picante,Cup,Mexico,3.25,False
2421,UNI PRESIDENT,Baseball Snack Noodle,Pack,Taiwan,5.0,False
2420,NISSIN,Cup Noodles Spicy Seafood Flavor,Cup,China,3.75,False
2419,MYKUALI,Penang Red Tom Yum Goong,Box,Japan,5.0,False
2418,MYOJO,Yomise No Yakisoba Karashi Mentaiko Flavor,Tray,Japan,4.5,False
2417,SUPER BIHUN,Bihun Kuah Rasa Baso Sapi,Pack,Indonesia,3.75,False
2416,XIUHE,Hot & Sour Beef Noodles,Bowl,China,4.25,False
2415,NISSIN,Kitsune Udon Donbei (West),Bowl,Japan,5.0,False
2414,LITTLE COOK,Thailand Green Curry Instant Noodle,Bowl,Taiwan,5.0,False
2413,NISSIN,Cup Noodles Beef Flavour,Cup,Hong Kong,2.5,False
2412,SHIRAKIKU,Sanukiya Udon Shrimp Flavor,Pack,USA,3.25,False
2411,MAMA PAT'S,Chicken Fajita Flavor Instant Ramen Noodles,Pack,USA,3.75,False
2410,MAMA PAT'S,Lamb Stew Flavor Instant Ramen Noodles,Pack,USA,3.75,False
2409,MAMA PAT'S,Seafood Gumbo Flavor Instant Ramen Noodles,Pack,USA,3.5,False
2408,MAMA PAT'S,Chicken Taco Flavor Instant Ramen Noodles,Pack,USA,3.75,False
2407,JUST WAY,Chuan Wei Spicy Guan-miao Noodles,Pack,Taiwan,4.5,False
2406,SICHUAN GUANGYOU,Sweet Potato Instant Noodle Braised Spicy Chitterling Flavor,Pack,China,0.25,False
2405,NISSIN,Cup Noodles Mini Spicy Seafood,Cup,Hong Kong,4.0,False
2404,MYKUALI,Penang Hokkien Prawn Noodle Soup,Pack,Singapore,5.0,False
2403,GOKU UMA,Yakisoba Japanese Style Noodle,Bowl,USA,4.75,False
2402,MAGGI,Nutri-licious Pazzta Tomato Twist,Pack,India,3.75,False
2401,SICHUAN BAIJIA,Chongqing Noodles Burning Dry Noodles,Bowl,China,5.0,False
2400,NISSIN,Cup Noodles Tom Yam Seafood Flavour,Cup,Singapore,5.0,False
2399,INDOMIE,My Noodles Mi Goreng Pizza Cheese,Pack,Indonesia,4.0,False
2398,LIANG CHENG MAI,Shaanxi Cold Noodle: Mustard Spicy,Tray,China,1.0,False
2397,SAMYANG,Cheese Buldak Bokkeummyun (Black),Bowl,South Korea,4.0,False
2396,MAGGI,2 Minute Noodles Chicken Flavour,Pack,Fiji,3.25,False
2395,MASTER KONG,Chicken Flavor Instant Noolde,Pack,China,4.25,False
2394,NISSIN,Cup Noodles Prawn Flavour,Cup,Hong Kong,3.75,False
2393,RIPE'N'DRY,Hokkaido Miso Ramen,Pack,Japan,3.0,False
2392,MYKUALI,Penang Red Tom Yum Goong Rice Vermicelli Soup,Bowl,Malaysia,5.0,False
2391,OTTOGI,Jin Jjambbong Spicy Seafood Ramyun,Pack,South Korea,5.0,False
2390,NISSIN,Rice Vermicelli Pickled Vegetable Pork Flavour,Cup,Hong Kong,3.75,False
2389,GEFEN,Imitation Chicken Flavor,Cup,USA,4.0,False
2388,HUA FENG,Three Fresh Delicacies Instant Noodle,Pack,China,4.25,False
2387,NISSIN,Demae Iccho Sesame Oil Flavour Instant Noodle,Bowl,Hong Kong,3.5,False
2386,MAGGI,2 Minute Noodles Curry Flavour,Pack,Fiji,4.0,False
2385,UNI PRESIDENT,Man Han Feast Chilli Beef Flavor Instant Noodles,Bowl,Taiwan,4.75,False
2384,SICHUAN GUANGYOU,9999 Chongqing Artificial Beef Flavor Instant Noodle,Pack,China,4.25,False
2383,NISSIN,Cup Noodles Beef Flavor Ramen Noodle Soup (New Recipe),Cup,USA,3.5,False
2382,NONGSHIM,Seaweed Instant Noodle,Cup,South Korea,0.5,False
2381,NISSIN,Demae Iccho Seafood Flavour Instant Noodle,Cup,Hong Kong,4.75,False
2380,PULMUONE,Non-Fried Ramyun With Spicy Beef Broth,Pack,South Korea,3.75,False
2379,NISSIN,Cup Noodles Hot & Spicy Shrimp Flavor Ramen Noodle Soup (New Recipe),Cup,USA,2.5,False
2378,SAU TAO,Non-Fried Mix Noodle Black Pepper XO Sauce Flavoured,Pack,Hong Kong,4.5,False
2377,MYKUALI,Penang White Curry Instant Noodle (Japan Version),Box,Malaysia,5.0,False
2376,NISSIN,Disney Cuties Instant Chicken With Corn Flavour,Cup,Thailand,3.25,False
2375,UNI PRESIDENT,Man Han Feast Braised Pork Flavor Instant Noodles,Bowl,Taiwan,5.0,False
2374,WORLD O' NOODLE,Mi Goreng Garlic Flavour Fried Noodles,Pack,Indonesia,4.5,False
2373,NISSIN,Top Ramen Atta Nooldes Masala,Pack,India,4.5,False
2372,LIU QUAN,Instant Spicy Rice Noodle,Bowl,China,4.0,False
2371,DAIKOKU,Tanuki Soba,Cup,Japan,3.5,False
2370,SAMYANG,Zzaldduck Buldak Bokkeummyun Snack,Pack,South Korea,4.5,False
2369,SAMYANG,Curry Buldak Bokkeummyun,Pack,South Korea,4.25,False
2368,SAMYANG,Cool/Ice Buldak Bokkeummyun,Pack,South Korea,3.75,False
2367,SAMYANG,2x Spicy Haek Buldak Bokkeummyun,Pack,South Korea,4.0,False
2366,SAMYANG,Buldak Bokkeummyun Snack,Pack,South Korea,5.0,False
2365,SAMYANG,Stew Buldak Bokkeumtangmyun,Pack,South Korea,5.0,False
2364,SAMYANG,Cheese Buldak Bokkeummyun,Pack,South Korea,4.0,False
2363,SAMYANG,Buldak Bokkeummyun (New Packaging),Pack,South Korea,4.0,False
2362,CHUAN WEI WANG,Bowl Instant Noodles Artificial Spicy Beef Flavor,Bowl,China,4.0,False
2361,NISSIN,Demae Iccho Chicken Flavour Instant Noodle (Bowl Noodle),Bowl,Hong Kong,5.0,False
2360,WAI WAI,Instant Noodles Artificial Chicken Flavoured,Pack,India,2.0,False
2359,DAIKOKU,Kitsune Udon,Cup,Japan,2.0,False
2358,SICHUAN BAIJIA,Pickled Cabbage Flavor Instant Vermicelli,Bowl,China,4.0,False
2357,KAMFEN,Noodle King Artificial Wonton Soup Flavored,Bowl,Hong Kong,5.0,False
2356,NONGSHIM,Spicy Shrimp Cup Noodle,Cup,South Korea,4.0,False
2355,MARUTAI,Nagasaki Agodashi Shoyu Ramen,Pack,Japan,4.0,False
2354,VIFON,Viet Cuisine Bun Rieu Cua Sour Crab Soup Instant Rice Vermicelli,Bowl,Vietnam,5.0,False
2353,NISSIN,"Cup Noodles Rich Garlic, Egg Yolk & Oxtail",Cup,Japan,4.0,False
2352,UNI PRESIDENT,Minced Pork Flavor Instant Noodles,Pack,Taiwan,1.0,False
2351,1 TO 3 NOODLES,Chatpat Masala,Pack,India,4.0,False
2350,NISSIN,Cup Noodles BIG XO Sauce Seafood Flavour,Cup,Hong Kong,4.0,False
2349,FANTASTIC,Noodles Chicken & Corn Flavour,Cup,Australia,3.0,False
2348,RIPE'N'DRY,Hokkaido Salt Ramen,Pack,Japan,3.0,False
2347,NISSIN,Demae Iccho Tonkotsu Flavour Instant Noodle (Bowl Noodle),Bowl,Hong Kong,3.0,False
2346,KNORR,Chatt Patta Instant Noodles,Pack,Pakistan,1.0,False
2345,SEMPIO,Clam Flavor Soup Kal-guksu,Pack,South Korea,5.0,False
2344,NISSIN,Cup Noodles Sopa Nissin Sabor A Pollo,Cup,Mexico,4.0,False
2343,NISSIN,Maxi Sopa Nissin Cuchareable Sabor A Jugo De Carne,Cup,Mexico,4.0,False
2342,NISSIN,Sopa Nissin Sabor A Camaron Sopa Instantanea Tipo Ramen,Pack,Mexico,4.0,False
2341,NISSIN,Cup Noodles Sopa Nissin Sabor A Carne De Res,Cup,Mexico,4.0,False
2340,NISSIN,RapiFideo Sabor A Tomate Y Pollo,Cup,Mexico,4.0,False
2339,NISSIN,"Cup Noodles Sopa Nissin Sabor Camaron, Habanero Y Limon",Cup,Mexico,3.0,False
2338,NISSIN,Sopa Nissin Sabor A Pollo Sopa Instantanea Tipo Ramen,Pack,Mexico,4.0,False
2337,NISSIN,Cup Noodles Sopa Nissin Con Camaron,Cup,Mexico,3.0,False
2336,NISSIN,Maxi Sopa Nissin Cuchareable Sabor A Camaron Picante,Cup,Mexico,3.0,False
2335,NISSIN,Cup Noodles Gourmet Sabor A Caldo De Camaron,Cup,Mexico,5.0,False
2334,NISSIN,"Sopa Nissin Sabor Mariscos, Habanero Y Limon",Cup,Mexico,4.0,False
2333,NISSIN,Maxi Sopa Nissin Cuchareable Sabor A Pollo,Cup,Mexico,4.0,False
2332,NISSIN,Sopa Nissin Sabor A Res Instantanea Tipo Ramen,Pack,Mexico,4.0,False
2331,NISSIN,Cup Noodles Sopa Nissin Hot Sauce Sabor A Pollo,Cup,Mexico,4.0,False
2330,VE WONG,Little Prince(ss) Brand Snack Noodles Artificial Mexican Pizza Flavor,Pack,Taiwan,4.0,False
2329,PATANJALI,Atta Noodles Jhatpat Banao Befikr Khao,Pack,India,5.0,False
2328,QIN ZONG,Shaanxi Cold Noot Hot & Sour Flavor,Pack,China,3.0,False
2327,NISSIN,Cup Noodles Spicy Lime Flavor Ramen Noodle Soup (New Recipe),Cup,USA,4.0,False
2326,NISSIN,Demae Iccho Tokyo Shoru Tonkotsu Instant Noodle,Cup,Hong Kong,4.0,False
2325,PRAN,Mr. Noodles Curry Flavor Instant Noodles,Pack,Bangladesh,4.0,False
2324,PALDO,Bul Jjajangmyeon,Pack,South Korea,5.0,False
2323,OGASAWARA,Kirin Giraffe Shio Ramen,Pack,Japan,5.0,False
2322,SAPPORO ICHIBAN,Mie Kamayama Ramen Gyukotsu Misoaji,Bowl,Japan,3.0,False
2321,SAU TAO,Black Pepper XO Sauce Flavour,Bowl,Hong Kong,5.0,False
2320,NISSIN,Nupasta Bolognese Flavour Instant Noodle,Cup,Japan,4.0,False
2319,NONGSHIM,Saeutang Sabalmyeon,Bowl,South Korea,3.5,False
2318,HAPPY COOK,Sichuan Spicy Flavor,Pack,Taiwan,5.0,False
2317,MAMA,Instant Bowl Noodles Shrimp (Tom Yum) Flavor Base,Bowl,Thailand,4.0,False
2316,NISSIN,Cup Noodle Spicy Curry Chicken,Cup,Japan,5.0,False
2315,GOKU UMA,Ramen Noodles Miso Flavor,Bowl,USA,3.0,False
2314,NISSIN,Cup Noodles Spicy Beef Flavour,Cup,Hong Kong,4.0,False
2313,XIAO BAN MIAN,Sesame Oil With Garlic Flavor Thin Noodle,Pack,Taiwan,3.5,False
2312,XIAO BAN MIAN,Traditional Shallot & Onion Oil Noodle,Pack,Taiwan,5.0,False
2311,XIAO BAN MIAN,Sesame Sauce Matcha Noodle,Pack,Taiwan,3.8,False
2310,PRAN,Mr. Noodles Instant Noodles Beef Flavour,Pack,Bangladesh,4.0,False
2309,NISSIN,Cup Noodles Big Seafood Flavour,Cup,Hong Kong,4.0,False
2308,FANTASTIC,Noodles Chicken Chow Mein Flavour,Cup,Australia,4.0,False
2307,OTTOGI,Ramyun Sabor Pollo,Pack,Mexico,4.0,False
2306,NISSIN,Demae Iccho Black Garlic Oil Tonkotsu Flavour Instant Noodles,Cup,Hong Kong,4.0,False
2305,AJINATORI,Chicken Flavor Ramen,Pack,Japan,4.0,False
2304,MAGGI,2 Minute Noodles Masala Spicy,Pack,India,5.0,False
2303,MARUCHAN,Sopa Maruchan Sobar A Camaron,Pack,Mexico,3.0,False
2302,NISSIN,Yakisoba,Tray,Japan,5.0,False
2301,SUIMIN,Noodle With Oriental Chicken Flavour,Cup,Australia,3.0,False
2300,NISSIN,Demae Ramen Spicy Xo Sauce Seafood Flavour Instant Noodle,Pack,Hong Kong,4.0,False
2299,CINTAN,Mi Segera Mmm... Original,Pack,Malaysia,3.0,False
2298,NISSIN,Cup Noodles Spicy Chile Chicken (New Recipe),Cup,USA,4.0,False
2297,CHUAN WEI WANG,Bowl Instant Noodles Artificial Beef With Sauerkraut Flavor,Bowl,China,3.0,False
2296,SUIMIN,Noodles With Chicken Flavour,Cup,Australia,3.0,False
2295,NISSIN,Cup Noodles Seafood,Cup,China,4.0,False
2294,SAPPORO ICHIBAN,Tabimen AizuKitakata Gyokai Shoyu Ramen,Bowl,Japan,4.0,False
2293,NISSIN,Nupasta Bacon In Carbonara Sauce Flavour Instant Noodle,Pack,Hong Kong,5.0,False
2292,SICHUAN BAIJIA,Chongqing Noodles Spicy Hot Flavor,Pack,China,5.0,False
2291,SAMYANG,Buldak Bokkummyun Cheese Flavor,Pack,South Korea,4.0,False
2290,NISSIN,Demae Ramen Straight Noodle Black Garlic Oil Tonkotsu Flavour Instant Noodle,Pack,Hong Kong,5.0,False
2289,MYOJO,Shin Toyama Black Ramen,Bowl,Japan,4.0,False
2288,NISSIN,Cup Noodles Tom Yum Goong Flavour,Cup,Hong Kong,4.0,False
2287,MASTER KONG,Artificial Abalone Crab Flavor Instant Noodle,Pack,China,0.0,False
2286,KAMFEN,Noodle King Artificial Abalone And Chicken Soup Flavored,Bowl,Hong Kong,4.0,False
2285,FANTASTIC,Noodles Beef Flavour,Cup,Australia,3.0,False
2284,NISSIN,Korean Kimchi Flavour Vermicelli,Cup,Hong Kong,4.0,False
2283,NISSIN,Raoh Pork Bone Soy Soup Noodle,Pack,Japan,5.0,False
2282,SAMYANG,Gold Jjamppong Fried Noodle,Pack,South Korea,5.0,False
2281,NISSIN,Demae Iccho Red Hot Seafood Flavour Instant Noodle,Cup,Hong Kong,4.0,False
2280,SICHUAN BAIJIA,Chongqing Noodles Hot & Sour Flavor,Pack,China,4.0,False
2279,NISSIN,Demae Iccho Spicy Tonkotsu Flavour Instant Noodle (Bowl Noodle),Bowl,Hong Kong,5.0,False
2278,NISSIN,Raoh Tantanmen,Pack,Japan,5.0,False
2277,GOKU UMA,Ramen Noodles Soy Sauce Flavor,Bowl,USA,3.0,False
2276,NISSIN,Cup Noodles With Shrimp Ramen Noodle Soup (New Recipe),Cup,USA,3.0,False
2275,JML,Hot & Sour Beef Noodles,Pack,China,4.0,False
